epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1241.94,0.50374,0.79268,0.95385,0.97581,0.99292,0.995,0.93808,0.35272,0.80467,0.86386,0.000508444,0.000508444,0.000508444
43,1271.35,0.50253,0.84518,0.97484,0.9834,0.97048,0.995,0.94714,0.32929,0.78573,0.85946,0.000506503,0.000506503,0.000506503
44,1300.52,0.54347,0.81248,0.99429,0.95063,0.96934,0.9925,0.94537,0.34186,0.74619,0.86438,0.000504563,0.000504563,0.000504563
45,1330.35,0.51634,0.8028,0.95905,0.94409,0.94038,0.99179,0.93688,0.3378,0.77,0.86228,0.000502622,0.000502622,0.000502622
46,1360.04,0.62611,0.88264,1.08559,0.98489,0.97368,0.995,0.94407,0.34691,0.7145,0.86941,0.000500682,0.000500682,0.000500682
47,1389.55,0.5374,0.84862,0.96507,0.96354,0.97599,0.99153,0.93006,0.35508,0.76474,0.88121,0.000498742,0.000498742,0.000498742
48,1419.2,0.51361,0.94057,0.89901,0.94983,0.98105,0.98044,0.89028,0.45547,0.79161,0.90123,0.000496801,0.000496801,0.000496801
49,1448.51,0.67043,0.92953,1.11134,0.95946,0.97576,0.98451,0.92474,0.35529,0.75771,0.87022,0.000494861,0.000494861,0.000494861
50,1477.61,0.56131,0.83147,0.99067,0.97374,0.93957,0.98936,0.93471,0.36912,0.74169,0.86894,0.00049292,0.00049292,0.00049292
51,1506.56,0.51743,0.82828,0.96026,0.96646,0.97696,0.98811,0.93882,0.34291,0.69643,0.86268,0.00049098,0.00049098,0.00049098
52,1535.45,0.5263,0.76726,0.95568,0.92257,0.96858,0.98667,0.93848,0.33685,0.68391,0.8582,0.00048904,0.00048904,0.00048904
53,1565.17,0.51415,0.7191,0.94259,0.93653,0.96453,0.991,0.92507,0.37226,0.71723,0.86793,0.000487099,0.000487099,0.000487099
54,1594.64,0.58581,0.77189,1.00918,0.95155,0.98216,0.99125,0.95028,0.32368,0.66455,0.85608,0.000485159,0.000485159,0.000485159
55,1624.09,0.51544,0.76129,0.93371,0.96214,0.95038,0.991,0.92921,0.3628,0.66484,0.86616,0.000483218,0.000483218,0.000483218
56,1654.01,0.53947,0.75738,0.98362,0.94896,0.97917,0.9773,0.92585,0.32083,0.62607,0.85537,0.000481278,0.000481278,0.000481278
